position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
31059	BX546453.2	BX546453.2	bx546453.2	ENSDARG00000116385	0
31060	CR450764.17	CR450764.17	cr450764.17	ENSDARG00000116389	0
31061	BX571711.17	BX571711.17	bx571711.17	ENSDARG00000116390	0
31062	CABZ01067581.1	CABZ01067581.1	cabz01067581.1	ENSDARG00000116393	0
31063	BX548044.8	BX548044.8	bx548044.8	ENSDARG00000116394	0
31064	CR450785.21	CR450785.21	cr450785.21	ENSDARG00000116396	0
31065	CR388008.1	CR388008.1	cr388008.1	ENSDARG00000116400	0
31066	CR925755.2	CR925755.2	cr925755.2	ENSDARG00000116402	0
31067	dre-mir-430b-1-2	dre-mir-430b-2	dre-mir-430b-2	ENSDARG00000116403	0
31068	CABZ01086574.1	CABZ01086574.1	cabz01086574.1	ENSDARG00000116404	1
31069	CU856157.1	CU856157.1	cu856157.1	ENSDARG00000116405	0
31070	BX928751.6	BX928751.6	bx928751.6	ENSDARG00000116406	0
31071	BX324177.24	BX324177.24	bx324177.24	ENSDARG00000116411	0
31072	CU570797.14	CU570797.14	cu570797.14	ENSDARG00000116415	0
31073	BX664622.2	BX664622.2	bx664622.2	ENSDARG00000116420	0
31074	AL844563.2	AL844563.2	al844563.2	ENSDARG00000116421	0
31075	BX649394.15	BX649394.15	bx649394.15	ENSDARG00000116425	0
31076	olfcg1-1	olfcg1-1	olfcg1-1	ENSDARG00000116427	0
31077	taar20h	taar20h	taar20h	ENSDARG00000116428	0
31078	si:ch73-329n5.2	si:dkey-201i2.2	si:dkey-201i2.2	ENSDARG00000116430	0
31079	LO017877.2	LO017877.2	lo017877.2	ENSDARG00000116433	0
31080	CABZ01029422.1	CABZ01029422.1	cabz01029422.1	ENSDARG00000116438	0
31081	TENT5A	tent5aa	tent5aa	ENSDARG00000116442	0
31082	BX510986.1	BX510986.1	bx510986.1	ENSDARG00000116443	0
31083	CABZ01046954.1	CABZ01046954.1	cabz01046954.1	ENSDARG00000116445	0
31084	CABZ01022569.3	CABZ01022569.3	cabz01022569.3	ENSDARG00000116452	0
31085	si:ch211-156l18.4	si:ch211-156l18.4	si:ch211-156l18.4	ENSDARG00000116455	0
31086	zmp:0000001088	zmp:0000001088	zmp:0000001088	ENSDARG00000116457	0
31087	si:ch211-139n6.11	si:ch211-139n6.11	si:ch211-139n6.11	ENSDARG00000116465	0
31088	BX276101.2	BX276101.2	bx276101.2	ENSDARG00000116471	0
31089	CR450785.22	CR450785.22	cr450785.22	ENSDARG00000116472	0
31090	BX908777.8	BX908777.8	bx908777.8	ENSDARG00000116474	0
31091	dre-mir-430a-2-7	dre-mir-430a-9	dre-mir-430a-9	ENSDARG00000116475	0
31092	dre-mir-430a-4-4	dre-mir-430a-4	dre-mir-430a-4	ENSDARG00000116477	0
31093	CABZ01063426.1	CABZ01063426.1	cabz01063426.1	ENSDARG00000116478	0
31094	BX927290.1	BX927290.1	bx927290.1	ENSDARG00000116479	0
31095	CR533578.4	CR533578.4	cr533578.4	ENSDARG00000116480	0
31096	dre-mir-430c-1-15	dre-mir-430c-10	dre-mir-430c-10	ENSDARG00000116481	0
31097	FP102122.1	FP102122.1	fp102122.1	ENSDARG00000116483	0
31098	BX465198.2	BX465198.2	bx465198.2	ENSDARG00000116484	0
31099	CABZ01039304.1	CABZ01039304.1	cabz01039304.1	ENSDARG00000116487	0
31100	pimr157	pimr157	pimr157	ENSDARG00000116490	0
31101	h2az2b	h2az2b	h2az2b	ENSDARG00000116491	0
31102	AL929029.18	AL929029.18	al929029.18	ENSDARG00000116492	0
