id	name	kind	depth	is_a	part_of	start_stage	end_stage	synonyms
ZFA:0005099	ray vein	structure	5	ZFA:0000082	ZFA:0005299	ZFS:0000000	ZFS:0000044	ray veins [EXACT]
ZFA:0005100	intervessel commissure	structure	5	ZFA:0005299		ZFS:0000000	ZFS:0000044	intervessel comisures [EXACT]
ZFA:0005101	interray vessel	structure	5	ZFA:0005299		ZFS:0000000	ZFS:0000044	interray vessels [EXACT]
ZFA:0005102	presumptive median fin fold	structure	4	ZFA:0001116		ZFS:0000027	ZFS:0000028	
ZFA:0005103	presumptive ventral fin fold	structure	5	ZFA:0005102		ZFS:0000027	ZFS:0000028	
ZFA:0005104	presumptive dorsal fin fold	structure	5	ZFA:0005102		ZFS:0000027	ZFS:0000028	
ZFA:0005105	lymph vasculature	structure	4	ZFA:0005249	ZFA:0000385	ZFS:0000032	ZFS:0000044	lymph vessel [RELATED] | lymph vessels [EXACT]
ZFA:0005106	longitudinal lateral lymphatic vessel	structure	4	ZFA:0005844		ZFS:0000000	ZFS:0000044	LLL [EXACT]
ZFA:0005107	pectoral lymphatic vessel	structure	4	ZFA:0005844		ZFS:0000000	ZFS:0000044	PL [EXACT]
ZFA:0005108	facial lymphatic vessel	structure	4	ZFA:0005844	ZFA:0005831	ZFS:0000000	ZFS:0000044	FL [EXACT]
ZFA:0005109	jugular lymphatic vessel	structure	4	ZFA:0005844	ZFA:0005831	ZFS:0000000	ZFS:0000044	JL [EXACT] | JLV [EXACT]
ZFA:0005110	thoracic duct	structure	5	ZFA:0005296		ZFS:0000035	ZFS:0000044	
ZFA:0005111	medial forebrain bundle	structure	4	ZFA:0001682		ZFS:0000030	ZFS:0000044	medial forebrain bundles [EXACT]
ZFA:0005112	dorsal lateral line	structure	4	ZFA:0001469	ZFA:0001471	ZFS:0000034	ZFS:0000044	dorsal lateral lines [EXACT]
ZFA:0005113	dorsal lateral line neuromast	structure	5	ZFA:0000243	ZFA:0005112	ZFS:0000034	ZFS:0000044	neuromast dorsal [EXACT]
ZFA:0005114	middle lateral line system	structure	6	ZFA:0000034		ZFS:0000000	ZFS:0000044	
ZFA:0005115	primary posterior lateral line primordium	structure	5	ZFA:0001157		ZFS:0000027	ZFS:0000033	primary posterior lateral line primordia [EXACT] | primI [EXACT]
ZFA:0005116	secondary posterior lateral line primordium	structure	5	ZFA:0001157		ZFS:0000033	ZFS:0000000	secondary posterior lateral line primordia [EXACT]
